id,pid,accountno,balance
1,162,43732,-826
2,696,75978,708
3,324,42883,-275
4,288,59462,600
5,879,36153,-415
6,704,55865,-950
7,550,24612,-160
8,360,75509,47
9,496,39997,793
10,401,33168,-507
11,704,38151,80
12,119,30370,318
13,12,33479,378
14,666,19802,83
15,403,29445,-713
16,836,76154,539
17,731,12155,-484
18,598,66107,550
19,282,54759,508
20,225,70124,-840
21,816,67040,561
22,519,81083,-787
23,150,68363,386
24,585,30557,-629
25,485,85237,828
26,887,53201,-920
27,138,22178,429
28,680,33707,-475
29,103,52620,-623
30,994,75950,174
31,425,12299,-223
32,409,80300,945
33,694,26986,-574
34,189,54444,525
35,113,88416,750
36,141,24302,-694
37,956,70193,-127
38,74,30854,570
39,881,83579,-247
40,618,20125,759
41,556,28125,188
42,992,76671,-499
43,58,30258,690
44,778,33691,-371
45,722,50259,-570
46,126,69281,275
47,412,64181,-658
48,712,51009,-801
49,360,75957,-960
50,277,62540,69
51,282,19463,997
52,153,18727,337
53,448,73705,-494
54,155,34793,868
55,582,22328,-529
56,451,54367,-758
57,307,24945,-882
58,797,26541,-305
59,943,39142,683
60,378,64851,205
61,753,66644,-503
62,503,27196,-872
63,580,45444,754
64,750,39913,-141
65,230,66583,-876
66,789,72841,346
67,700,45838,661
68,742,35864,241
69,99,66771,100
70,648,59923,-920
71,655,15094,793
72,700,56927,-147
73,302,45550,212
74,754,20399,503
75,251,14670,490
76,633,43001,-709
77,320,63556,51
78,45,89346,-208
79,169,81001,-814
80,530,44633,313
81,670,56102,166
82,271,86726,-349
83,149,69190,-813
84,148,22313,513
85,935,24524,587
86,317,34046,-325
87,668,37928,27
88,826,55336,820
89,129,10905,-123
90,807,37528,48
91,752,13981,-653
92,250,80130,-90
93,781,66460,227
94,893,22394,-883
95,562,66656,-727
96,246,45766,280
97,303,26946,-54
98,992,13722,953
99,200,83286,193
100,129,70438,32
101,297,26199,-826
102,838,80005,986
103,876,74321,-491
104,667,12486,579
105,71,86676,965
106,356,61096,-276
107,997,24392,839
108,163,70104,-376
109,31,75113,-10
110,543,89250,864
111,127,70565,-29
112,265,19668,-76
113,501,53040,-308
114,1000,71025,706
115,129,65079,554
116,349,65064,723
117,941,87994,-853
118,323,54037,544
119,157,68105,-1000
120,363,89356,-302
121,72,10925,-666
122,390,14365,-479
123,10,43139,-775
124,901,89098,339
125,389,66524,593
126,840,27844,640
127,848,49226,828
128,43,46865,-524
129,289,12436,214
130,665,22803,-637
131,563,56529,924
132,497,83147,350
133,795,72269,-184
134,730,50489,260
135,349,24584,-657
136,950,15492,955
137,563,81334,-981
138,650,37920,76
139,877,86956,390
140,162,49173,591
141,98,54174,-997
142,303,29169,497
143,165,84847,960
144,257,56398,-757
145,413,30010,151
146,663,47916,536
147,701,72439,-856
148,708,57673,61
149,694,23829,-179
150,322,42657,-841
151,341,23255,-282
152,906,29125,132
153,155,32721,73
154,122,62055,61
155,554,84717,645
156,513,63027,-851
157,682,50619,-331
158,910,21711,758
159,397,55392,-817
160,453,69985,-575
161,891,19324,-474
162,890,85270,-336
163,901,64403,-380
164,3,48731,967
